"","GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_FL","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"36","ALS201407150","NLS",4,1,2,1,2,"CBFS",3,3,"jonea003","R","jonea003","R","greiz001","R","greiz001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","","","","K",FALSE,FALSE,8,7,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,36
"37","ALS201407150","NLS",5,0,0,2,2,"...BCCBX",3,3,"mccua001","R","mccua001","R","schem001","R","schem001","R","norrd001","cabrm001","altuj001","donaj001","ramia003","troum001","jonea003","bautj002","","","","53/G",TRUE,FALSE,8,1,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,5,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,53,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,5,0,0,0,0,37
"38","ALS201407150","NLS",5,0,1,3,2,"BSBBFS",3,3,"puigy001","R","puigy001","R","schem001","R","schem001","R","norrd001","cabrm001","altuj001","donaj001","ramia003","troum001","jonea003","bautj002","","","","K",FALSE,FALSE,9,2,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,38
"39","ALS201407150","NLS",5,0,2,2,1,"BSBX",3,3,"tulot001","R","tulot001","R","schem001","R","schem001","R","norrd001","cabrm001","altuj001","donaj001","ramia003","troum001","jonea003","bautj002","","","","D9/L+",FALSE,FALSE,6,3,21,TRUE,TRUE,2,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,9,"L",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",2,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,39
"40","ALS201407150","NLS",5,0,2,0,2,"FSS",3,3,"goldp001","R","goldp001","R","schem001","R","schem001","R","norrd001","cabrm001","altuj001","donaj001","ramia003","troum001","jonea003","bautj002","","tulot001","","K",FALSE,FALSE,3,4,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,2,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","schem001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,40
"41","ALS201407150","NLS",5,1,0,1,2,".CCBX",3,3,"donaj001","R","donaj001","R","neshp001","R","neshp001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","","","","31/G",TRUE,FALSE,5,8,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,3,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,31,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,1,0,0,3,0,0,0,0,41
"42","ALS201407150","NLS",5,1,1,0,1,"CX",3,3,"norrd001","R","norrd001","R","neshp001","R","neshp001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","","","","S7/G",FALSE,FALSE,2,9,20,TRUE,TRUE,1,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,7,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",1,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,42
"43","ALS201407150","NLS",5,1,1,3,2,"BBBCFX",3,3,"ramia003","R","ramia003","R","neshp001","R","neshp001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","norrd001","","","S7/L.1-2",FALSE,FALSE,6,1,20,TRUE,TRUE,1,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,7,"L",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",1,2,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"neshp001","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,43
"44","ALS201407150","NLS",5,1,1,2,0,"*BBX",3,3,"troum001","R","troum001","R","neshp001","R","neshp001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","ramia003","norrd001","","D7/G.2-H;1-3",FALSE,FALSE,7,2,21,TRUE,TRUE,2,FALSE,FALSE,0,FALSE,FALSE,1,FALSE,FALSE,7,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",2,3,4,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"neshp001","neshp001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,44
"45","ALS201407150","NLS",5,1,1,1,1,".FB+3X",3,4,"altuj001","R","altuj001","R","clipt001","R","clipt001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","","troum001","ramia003","7/SF/L.3-H",FALSE,FALSE,4,3,2,TRUE,FALSE,0,FALSE,TRUE,1,FALSE,FALSE,1,FALSE,FALSE,7,"L",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,2,4,7,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","neshp001","neshp001",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,7,0,0,0,0,0,0,0,45
"46","ALS201407150","NLS",5,1,2,2,2,"FBTBFFFX",3,5,"cabrm001","R","cabrm001","R","clipt001","R","clipt001","R","mesod001","goldp001","gordd002","ramia001","tulot001","gomec002","mccua001","puigy001","","troum001","","8/F",FALSE,FALSE,3,4,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,8,"F",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,2,0,8,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","neshp001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,8,0,0,0,0,0,0,0,46
"47","ALS201407150","NLS",6,0,0,1,2,"......CBFFS",3,5,"stanm004","R","stanm004","R","kazms001","L","kazms001","L","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","K",TRUE,FALSE,10,5,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,47
"48","ALS201407150","NLS",6,0,1,1,2,"SSFBX",3,5,"ramia001","R","ramia001","R","kazms001","L","kazms001","L","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","D7/G",FALSE,FALSE,5,6,21,TRUE,TRUE,2,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,7,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",2,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,48
"49","ALS201407150","NLS",6,0,1,0,1,"CX",3,5,"gordd002","L","gordd002","L","kazms001","L","kazms001","L","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","ramia001","","43/G.2-3",FALSE,FALSE,4,7,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,4,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,3,0,43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","kazms001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,4,0,0,0,0,49
"50","ALS201407150","NLS",6,0,2,0,2,".SSFS",3,5,"mesod001","R","mesod001","R","uehak001","R","uehak001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","ramia001","K",FALSE,FALSE,2,8,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,3,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","kazms001",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,50
"51","ALS201407150","NLS",6,1,0,1,1,".......CBX",3,5,"cespy001","R","cespy001","R","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","","","","53/G",TRUE,FALSE,7,5,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,5,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,53,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,5,0,0,0,0,51
"52","ALS201407150","NLS",6,1,1,2,0,".BBX",3,5,"seagk001","L","seagk001","L","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","","","","3/G",FALSE,TRUE,10,6,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,3,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,3,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"cruzn002",10,3,0,0,0,0,0,0,0,52
"53","ALS201407150","NLS",6,1,2,3,0,"BBBB",3,5,"belta001","R","belta001","R","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","","","","W",FALSE,FALSE,5,7,14,TRUE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",1,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,53
"54","ALS201407150","NLS",6,1,2,1,0,"BX",3,5,"branm003","L","branm003","L","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","belta001","","","4!3/G",FALSE,FALSE,8,8,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,4,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,1,0,0,43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"rodrf003","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,4,0,0,0,0,54
"55","ALS201407150","NLS",7,0,0,1,0,"..BX",3,5,"harrj002","R","harrj002","R","hollg001","R","hollg001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","9/F",TRUE,FALSE,7,9,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,9,"F",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,9,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,9,0,0,0,0,0,0,0,55
"56","ALS201407150","NLS",7,0,1,2,2,"FBSBT",3,5,"blacc001","L","blacc001","L","hollg001","R","hollg001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","K",FALSE,FALSE,8,1,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,56
"57","ALS201407150","NLS",7,0,2,0,1,"TX",3,5,"pench001","R","pench001","R","hollg001","R","hollg001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","53/G+",FALSE,FALSE,9,2,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,5,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,53,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,5,0,0,0,0,57
"58","ALS201407150","NLS",7,1,0,2,2,"..BCBTT",3,5,"norrd001","R","norrd001","R","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","K",TRUE,FALSE,2,9,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,58
"59","ALS201407150","NLS",7,1,1,1,2,"BFFFX",3,5,"ramia003","R","ramia003","R","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","E3/G+",FALSE,FALSE,6,1,18,TRUE,TRUE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,3,"G",FALSE,FALSE,"",1,3,"F",0,"N",0,"N",1,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,59
"60","ALS201407150","NLS",7,1,1,1,1,"SB>S",3,5,"mossb001","L","mossb001","L","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","ramia003","","","SB2",FALSE,FALSE,9,2,4,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,2,0,0,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"kimbc001","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,60
"61","ALS201407150","NLS",7,1,1,1,2,"SB>S.S",3,5,"mossb001","L","mossb001","L","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","ramia003","","K",FALSE,FALSE,9,2,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,2,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","kimbc001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,61
"62","ALS201407150","NLS",7,1,2,1,2,".CFBFS",3,5,"kinsi001","R","kinsi001","R","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","ramia003","","K",FALSE,TRUE,11,3,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,2,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","kimbc001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"altuj001",4,2,0,0,0,0,0,0,0,62
"63","ALS201407150","NLS",8,0,0,1,2,"...CFBFT",3,5,"casts001","R","casts001","R","dools001","L","dools001","L","norrd001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","","","","K",TRUE,FALSE,6,3,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,63
"64","ALS201407150","NLS",8,0,1,1,1,"BFX",3,5,"freef001","L","freef001","L","dools001","L","dools001","L","norrd001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","","","","S9/G",FALSE,FALSE,3,4,20,TRUE,TRUE,1,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,9,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",1,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,64
"65","ALS201407150","NLS",8,0,1,1,2,".CBCFT",3,5,"rizza001","L","rizza001","L","dools001","L","dools001","L","norrd001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","freef001","","","K",FALSE,TRUE,10,5,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,1,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"dools001","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"stanm004",10,2,0,0,0,0,0,0,0,65
"66","ALS201407150","NLS",8,0,2,3,0,".BBBB",3,5,"frazt001","R","frazt001","R","rodnf001","R","rodnf001","R","norrd001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","freef001","","","W.1-2",FALSE,FALSE,5,6,14,TRUE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",1,2,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"dools001","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,66
"67","ALS201407150","NLS",8,0,2,0,2,"CCFS",3,5,"murpd006","L","murpd006","L","rodnf001","R","rodnf001","R","norrd001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","frazt001","freef001","","K",FALSE,FALSE,4,7,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,1,2,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"rodnf001","dools001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,67
"68","ALS201407150","NLS",8,1,0,0,0,"...X",3,5,"abrej003","R","abrej003","R","watst001","L","watst001","L","montm001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","7/F",TRUE,FALSE,3,4,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,7,"F",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,7,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,7,0,0,0,0,0,0,0,68
"69","ALS201407150","NLS",8,1,1,1,0,".BX",3,5,"cespy001","R","cespy001","R","chapa001","L","chapa001","L","montm001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","63/G",FALSE,FALSE,7,5,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,6,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,63,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,6,0,0,0,0,69
"70","ALS201407150","NLS",8,1,2,0,2,"CSX",3,5,"seagk001","L","seagk001","L","chapa001","L","chapa001","L","montm001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","31/G",FALSE,FALSE,10,6,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,3,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,31,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,1,0,0,3,0,0,0,0,70
"71","ALS201407150","NLS",9,0,0,0,1,"..CX",3,5,"montm001","L","montm001","L","perkg001","L","perkg001","L","suzuk001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","","","","8/F",TRUE,FALSE,2,8,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,8,"F",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,8,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,8,0,0,0,0,0,0,0,71
"72","ALS201407150","NLS",9,0,1,1,2,"CBFFS",3,5,"harrj002","R","harrj002","R","perkg001","L","perkg001","L","suzuk001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","","","","K",FALSE,FALSE,7,9,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,72
"73","ALS201407150","NLS",9,0,2,1,0,"BX",3,5,"blacc001","L","blacc001","L","perkg001","L","perkg001","L","suzuk001","abrej003","kinsi001","belta001","aybae001","cespy001","branm003","mossb001","","","","43/G",FALSE,FALSE,8,1,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,4,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,TRUE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,4,0,0,0,0,73
